id,hypothesis,premise,relation
"WANLI4784","إذا كانت الحكمة القديمة صحيحة، فلا يمكن حساب الذوق.","المثل القديم صحيح.","NoneSense"
"WANLI5080","قالوا إنه إذا لم يتم تسوية الأمر بحلول يوم الإثنين، فسوف يطلبون من الحاكم تعيين مدعٍ خاص.","كان من المتوقع أن يعين الحاكم مدعياً خاصاً.","NoneSense"
"WANLI5139","في خطاب حديث، حذر من أنه ما لم تتصرف الولايات المتحدة قريبًا، ستصبح البلاد "جمهورية موز".","ستصبح الولايات المتحدة جمهورية موز.","NoneSense"
"WANLI5577","إذا تم استخدام قاعدة اليد اليسرى، فإن النتيجة هي:","النتيجة هي:","NoneSense"
"WANLI5860","طريقة رائعة لمراقبة الأمور هي أن تراقب عن كثب المراقبين.","لا يمكن للمراقبين مراقبة الأمور عن كثب إلا إذا راقبوا المراقبين عن كثب.","NoneSense"
"WANLI5918","إذا كانت نتيجة ذلك هي زيادة الاهتمام العام بالفنون، فكان ثمنًا يستحق الدفع.","كانت نتيجة ذلك زيادة الاهتمام العام بالفنون.","NoneSense"
"WANLI5969","إذا استطعنا تحديد ومعالجة الأسباب الجذرية للمشكلة، يمكننا إيقاف انتشار المرض.","لم يتم تحديد الأسباب الجذرية للمشكلة.","NoneSense"
"WANLI6188","هناك شيء معين من "لا أعلم ماذا" في الكتاب، نوع من الواقعية السحرية التي تجعل الأمر يبدو كما لو كان قد كُتب بواسطة كاتب شهد وعاش كل الأشياء التي يصفها.","الكتاب سحري.","NoneSense"
"WANLI6444","من المثير للاهتمام أن الطريقة الوحيدة للتأكد من الحصول على طاولة جيدة في مطعم هي أن تطلبها.","إذا طلبت طاولة جيدة، ستحصل على طاولة جيدة.","NoneSense"
"WANLI6676","ماذا لو حدث سيناريو مشابه في المستقبل؟","من المستحيل أن يحدث سيناريو مشابه في المستقبل.","NoneSense"
"WANLI7035","إذا اعتُبرت المعاملة معاملة يكون فيها البائع هو المشتري والمشتري هو البائع، فإن القيمة العادلة للعقار المنقول هي نفسها قيمة العقار المستلم.","القيمة العادلة للعقار المنقول هي نفس قيمة العقار المستلم.","NoneSense"
"WANLI7296","إذا كان لديك مشكلة معه، تحدث إلى الشخص الذي اخترعه.","الرجل الذي اخترعه لديه مشكلة معه.","NoneSense"
"WANLI7343","إذا كان يمكننا القول بأن لدينا هوية واحدة، فهي هوية جماعية، هوية تستند إلى إرادة الشعب.","إذا كان يمكننا القول إن لدينا هوية واحدة، فهي هوية جماعية.","NoneSense"
"WANLI7352","إذا كنت محظوظًا بما يكفي لدعوتك إلى حفلة عشاء، فلا ترتدي بدلتك إلى الحفلة.","ارتداء بدلتك إلى الحفلة ليس نحسًا.","NoneSense"
"WANLI7440","لو كان الكلب في الغرفة، لكان الصوت مسموعًا.","لم يكن الكلب في الغرفة، لذا لم يكن الصوت مسموعًا.","NoneSense"
"WANLI7851","يُدعي أيضًا أن كراهية الفوهرر لليهود كبيرة لدرجة أنه كان سيأمر بتدمير اليهود في معسكرات الاعتقال حتى لو كان يعلم أن الحلفاء سيقصفون المعسكرات.","لم يأمر الفوهرر بتدمير اليهود في معسكرات الاعتقال.","NoneSense"
"WANLI7858","إذا كنت في مكاني، لفعلت الشيء نفسه.","إذا كنت في مكاني، كنت ستصبح أكثر حذرًا.","NoneSense"
"WANLI8012","إذا لم تفعل، سأعطيك زوجًا جميلًا من الأحذية.","أعلم أن هذا صحيح.","NoneSense"
"WANLI8133","لو لم يفعل، لكان يُنظر إليه كأحمق.","كان يُنظر إليه كأحمق إذا لم يتوقف.","NoneSense"
"WANLI8318","من السهل أن أخذ قيلولة على الأريكة، لكنني أخشى أنه إذا نمت، سأفوت الفيلم.","إذا نمت، سأفوت الفيلم.","NoneSense"
"WANLI8354","تتمثل إحدى القضايا الرئيسية في أنه إذا لم تتمكن المنشأة من الاحتفاظ بالسجلات اللازمة، فسيكون من الصعب تحديد ما إذا كانت المنشأة تتوافق مع متطلبات القاعدة.","لن تتمكن المنشأة من تحديد ما إذا كانت تمتثل لمتطلبات القاعدة.","NoneSense"
"WANLI8580","إنها من النوع الذي، إذا كانت سعيدة، ستبدو كما لو أنها قد حصلت على راتبها للتو.","تبدو وكأنها قد حصلت على راتبها للتو.","NoneSense"
"WANLI8708","إذا كان عليّ أن أفعل، فسأفعل.","لن أضطر إلى ذلك.","NoneSense"
"WANLI8721","إذا قام الرئيس بفرض حق النقض على المشروع، فسوف يغامر برأسماله السياسي ويفقد مصداقيته مع الجمهور.","الرئيس سياسي.","NoneSense"
"WANLI8752","في غياب تهديد واضح، فإن تهديدًا غير محدد يعد تهديدًا جيدًا.","إذا لم يكن هناك تهديد واضح، فمن الجيد اختلاق واحد.","NoneSense"
"WANLI9037","إذا قررت الحزب اتخاذ موقف بشأن القضية، فسيكون قادرًا على الاختيار من بين مجموعة من السياسات، بما في ذلك عقوبة الإعدام الإلزامية، وحق حمل السلاح، وحظر كامل للإجهاض.","سيتخذ الحزب موقفًا بشأن القضية.","NoneSense"
"WANLI9106","إذا تم أخذ معدل التضخم الحالي في الاعتبار، سيتمكن مكتب البريد من دفع التزامه الحالي للحكومة الفيدرالية بشأن مزايا الصحة للمتقاعدين على الأقل خلال السنوات العشر القادمة.","ستكون خدمة البريد قادرة على دفع التزاماتها الحالية للحكومة الفيدرالية بشأن مزايا الصحة للمتقاعدين على الأقل لمدة عشر سنوات قادمة.","NoneSense"
"WANLI9234","إذا لم تتخذ الحكومة إجراءات، ستستمر الأزمة في التفاقم.","ستستمر الأزمة في التفاقم.","NoneSense"
"WANLI9295","هذا المثال يوضح أنه إذا كانت الشركة لديها مستوى عالٍ من الديون، فإن ذلك ليس بالضرورة مشكلة.","وجود مستوى عالٍ من الديون هو مشكلة.","NoneSense"
"WANLI9469","لو كانت إدارة بوش قد اتخذت القرار الصحيح، لكان الحرب قد انتهت الآن.","الحرب لم تنتهِ بعد.","NoneSense"
"WANLI9497","إذا كنت تعتقد أن أفضل طريقة لحل المشكلة هي التخلص من جميع السيارات، فأنت مخطئ.","أفضل طريقة لحل المشكلة هي التخلص من جميع السيارات.","NoneSense"
"WANLI9868","إذا لم يكن مجلس المدينة مستعدًا لإنفاق المال، فسيتعين على مجلس التعليم القيام بذلك.","سيتعين على مجلس المدينة القيام بذلك.","NoneSense"
"WANLI9883","إذا كان لديك انتظار طويل، فلا تذهب إلى كشك الوجبات الخفيفة. عادة ما يكون مليئًا بالأطفال الصاخبين.","إذا كان لديك انتظار طويل في الطابور، فلا تذهب إلى كشك الوجبات الخفيفة. عادةً ما يكون مليئًا بالأطفال الصاخبين.","NoneSense"
"WANLI10014",""ستندم إذا لم تفعل ذلك،" قال المدير.","إذا لم تفعل ذلك، ستندم عليه.","NoneSense"
"WANLI10050","إذا كانت تكنولوجيا الغد غير قادرة على معالجة مشاكل اليوم، فإن المشكلة ليست في تكنولوجيا الغد، بل في نقص الخيال اليوم.","تكنولوجيا الغد قادرة على معالجة مشاكل اليوم.","NoneSense"
"WANLI10092","إذا لم يتعطل عملية التنشئة الاجتماعية والتعلم التي تحدث في الأسرة والمدرسة، سيتعلم الطفل التحدث والقراءة والكتابة والقيام بالعمليات الحسابية.","تتعطل عملية التنشئة الاجتماعية والتعلم التي تحدث في الأسرة والمدرسة.","NoneSense"
"WANLI10266","إذا كان النبيذ قديمًا جدًا، يمكن تحويله إلى خل.","يمكن تحويل النبيذ إلى خل.","NoneSense"
"WANLI10456","إذا استمر التدهور في العلاقة بين قيمة الدولار وقيمة الين، فسوف ينخفض الدولار ويرتفع الين.","سوف ينخفض الدولار ويرتفع الين.","NoneSense"
"WANLI10586","إذا اعتمدت الهيئة التشريعية في ولاية كاليفورنيا التعديل، سيدخل التعديل حيز التنفيذ في 1 يناير 2017.","سيصبح التعديل ساري المفعول في 1 يناير 2017.","NoneSense"
"WANLI11353","أنا مقتنع أن الشيء الوحيد الذي سينقذنا هو إذا تمكنا من الوصول إلى منطقة الفهم المتبادل.","الشيء الوحيد الذي سينقذنا هو إذا تمكنا من الوصول إلى منطقة الفهم المتبادل.","NoneSense"
"WANLI11481","إذا لم يكن district المدرسة كيانًا لديه السلطة لإصدار السندات، فإن district المدرسة لا يمكنه إصدار السندات.","لا يمكن للمنطقة التعليمية إصدار سندات.","NoneSense"
"WANLI11808","ولكن من الواضح أنه إذا لم يتم تعديل تكاليف العمالة، فلن يتم تعديل إنتاجية العمل.","ليس من الواضح أنه سيتم تعديل إنتاجية العمل إذا لم يتم تعديل تكاليف العمل.","NoneSense"
"WANLI11872","إذا كان الأبطال جيدين جداً، فلماذا هم سيئون جداً؟","الأشخاص الطيبون ليسوا بالضرورة سيئين.","NoneSense"
"WANLI11903","ما الأمر، سيد سميثرز؟ تبدو وكأنك رأيت شبحًا.","السيد سميثرز رأى شبحًا.","NoneSense"
"WANLI12350","إذا كنت تعتقد أن النموذج الحالي جيد، يرجى إرسال تعليقاتك إلينا.","النموذج الحالي سيء.","NoneSense"
"WANLI12450","إذا كنا مهتمين بتحديد المرضى الذين يعانون من الشرب المفرط، يمكننا تعريف الشرب المفرط بأنه تناول 3 أو 4 أو 5 أو 6 مشروبات في مناسبة واحدة.","تحديد شرب الكحول بكثرة لدى المرضى لا يعتمد بشكل صارم على عدد المشروبات التي تم تناولها في جلسة واحدة.","NoneSense"
"WANLI12850","إذا كانت الطلب على المنتج منخفضًا، فلن يضطر المنتج لدفع الحد الأدنى من الأجر.","سيتعين على المنتج دفع الحد الأدنى من الأجور.","NoneSense"
"WANLI12896","إذا تم الموافقة على الاقتراح، سيدخل العقد الجديد حيز التنفيذ في 1 يناير 2015.","سيدخل العقد الجديد حيز التنفيذ في 1 يناير 2015.","NoneSense"
"WANLI13101","ولو كنت قد أخبرتني بذلك، لعرفت كيف أفعلها.","كنت سأعرف كيف أفعل ذلك.","NoneSense"
"WANLI13125","إذا كنت مفرطًا في الكمالية، فلن تتمكن أبدًا من صنع منتج جيد.","إذا لم تكن متطلبًا جدًا، ستتمكن من صنع منتج جيد.","NoneSense"
"WANLI13250","إذا كان القطاع المالي مهمًا جدًا، فلماذا تفشل العديد من البنوك؟","القطاع المالي ليس مهمًا.","NoneSense"
"WANLI13288","إذا كانت القضية تتعامل معها طاقم برامج الاستقبال والاستقبال II، فإن الخطوة المناسبة التالية هي الاتصال ببرنامج الاستقبال II للحصول على إحالة إلى برنامج الاستقبال.","الخطوة المناسبة التالية هي الاتصال ببرنامج الاستقبال للحصول على إحالة إلى برنامج الاستقبال II.","NoneSense"
"WANLI13609","في الفيلم، يتم عرض الجنود كما هم، كما لو كانوا قد ماتوا بالفعل.","الجنود قد ماتوا بالفعل.","NoneSense"
"WANLI13877","إذا لم أجد عملاً، فسأضطر للعودة إلى المدرسة.","عليّ أن أجد عملاً.","NoneSense"
"WANLI13969","سألني إذا كنت سأذهب معه إلى حفلة موسيقية في قاعة ألبرت.","قال إنه سيذهب معي إلى حفلة موسيقية في قاعة ألبرت.","NoneSense"
"WANLI14527","إذا لم أذكر ذلك بعد، فلم أقرأه بعد.","لم أقرأه بعد.","NoneSense"
"WANLI15211","عندما يرتفع سعر الفائدة على سندات الخزانة ذات الاستحقاق المتساوي، ينخفض السعر السوقي لسند الخزانة.","إذا ظلت أسعار الفائدة الحالية كما هي، فإن سعر سوق الأوراق المالية الحكومية سيبقى كما هو.","NoneSense"
"WANLI15279","السبب في أن القطاع غير الربحي مهم للغاية هو أنه يمتلك القدرة على تغيير العالم، حتى لو لم يكن لديه القوة للقيام بذلك.","المنظمات غير الربحية ليس لديها القدرة على تغيير العالم.","NoneSense"
"WANLI15380","لا أستطيع التوقف عن التفكير أنه لو كنت في وضع يمكنه المساعدة، لكانت قد فعلت ذلك.","كنت سأفعل ذلك لو كنت في موقف يمكنني من المساعدة.","NoneSense"
"WANLI15478","إذا كانت وظيفة العامل هي تشغيل الآلة، فإن الآلة كانت رئيس العامل.","لم تكن الآلة رئيس العامل.","NoneSense"
"WANLI15616","سنذهب إذا كنت متأكدًا.","أنت متأكد.","NoneSense"
"WANLI15748","إذا حدث هذا، سيتعين علينا إعادة النظر في سياساتنا الحالية.","سيجب إعادة تقييم هذا.","NoneSense"
"WANLI15932","إذا كنت تعتقد أنني ذكي جدًا، فلماذا لا تذهب وترى الشرطة؟","أعتقد أنك ذكي جداً.","NoneSense"
"WANLI16150","لو لم أسأل، لما أجاب.","كان سيجيب على أي حال.","NoneSense"
"WANLI16409","إذا لم يتمكنوا من شراء سيارة، فلن يتمكنوا من الذهاب إلى السينما.","لا يستطيعون تحمل تكلفة الذهاب إلى السينما.","NoneSense"
"WANLI16463","إذا كان لا بد لك من جدال، فاجعلني أنا من تتجادل معه.","إذا كان يجب عليك أن تتجادل، فاجعلها مع صديقتك.","NoneSense"
"WANLI16523","بعبارة أخرى، إذا كان لدينا زوج من الأضداد، يمكننا دائمًا الحصول على تناقض.","إذا كان لدينا زوج من الأضداد، يمكننا دائمًا الحصول على ثنائية زائفة.","NoneSense"
"WANLI16564","إذا لم تفعل، ستُغلق الشركة.","ستُغلق الشركة.","NoneSense"
"WANLI16712","ليس الأمر كما لو أن البلاد ليس لديها اهتمام بالمشكلة.","البلد ليس لديه اهتمام بالمشكلة، لأن وسائل الإعلام قررت تجاهلها.","NoneSense"
"WANLI16928","على سبيل المثال، في بعض الولايات، إذا أنجب زوجان طفلاً قبل زواجهما، يُعتبر الطفل غير شرعي.","الطفل ليس غير شرعي.","NoneSense"
"WANLI17199","إذا تم تمرير التشريع الجديد، فسيكون من الممكن إنشاء وزارة منفصلة لشؤون المرأة.","إذا تم تمرير التشريع الجديد، سيتم إنشاء وزارة منفصلة لشؤون المرأة.","NoneSense"
"WANLI17289","إذا كان على المؤسسة العسكرية أن تتصرف بهذه الطريقة، فذلك لأنها ليست سوى ظل للجيش العظيم الذي كان يومًا فخر الأمة.","تم تقليص حجم الجيش بشكل كبير.","NoneSense"
"WANLI17458","إذا لم تفعل، ستكون مسؤولاً عن التكلفة الكاملة للإصلاحات.","إذا لم تقم بإجراء الإصلاحات، ستكون مسؤولاً عن التكلفة الكاملة للإصلاحات.","NoneSense"
"WANLI17463","إذا كان لديك شكوى، اكتب إلى مدير البريد.","إذا كان لديك شكوى، اكتب إلى الرئيس.","NoneSense"
"WANLI17582","لو كنت أعلم، لقلت لك.","كنت أعلم أنك ستخبرني.","NoneSense"
"WANLI17635","إذا كنت في مزاج للاستماع إلى "موسيقى البيسترو"، أوصي بتجربة طبق الشيف الخاص لليوم.","طبق الشيف الخاص لليوم هو مكان جيد لتناول العشاء.","NoneSense"
"ANLI1632","بروك تتناول الطعام التايلاندي<br>تريد بروك تجربة نوع جديد من الطعام. سمعت أن هناك مطعمًا تايلانديًا مفتوحًا في حيها. تجرب بروك الطعام. إنه حار ولكنه لذيذ. تشعر بروك بالسعادة لأنها جربت طعامًا جديدًا.","جربت بروك الطعام التايلاندي للمرة الأولى","NoneSense"
"ANLI1959","حسنًا. تم قبول ذلك مع اعتراض المدعى عليهم. P60 هي الرسالة من عضو مجلس المدرسة جيزي إلى المحرر مرة أخرى. أعتقد أنني لاحظت أنه تم قبوله. مع الاعتراض الذي قدمه المدعى عليهم بالفعل، سنؤكد ذلك، ولكن يمكنك تقديم أي اعتراضات أخرى تريدها في السجل، لكنني أعتقد أن ذلك تم مناقشته بشكل شامل في ذلك الوقت.","P60 هو خطاب من عضو في مجلس المدرسة إلى المحرر حيث يعيد سرد ما حدث في القضية.","NoneSense"
"ANLI1994","كيفية العثور على دفاتر السنة<br>تواصل مع مركز الوسائط في المدرسة. عادةً ما يكون مركز الوسائط في المدرسة الثانوية مسؤولاً عن الاحتفاظ بنسخ من دفاتر السنة السابقة. ابحث عن رقم اتصال لمركز الوسائط في المدرسة عبر الإنترنت أو اتصل بالاستقبال في المدرسة واطلب أن يتم توصيلك بقسم مركز الوسائط.","تحتوي المكتبات المدرسية على كتب سنوية.","NoneSense"
"ANLI2325","واشنطن، 26 سبتمبر قال مسؤولون في إدارة أوباما يوم الخميس إن الأفراد الذين يسعون للحصول على تأمين صحي بموجب قانون أوباماكير من خلال الأسواق الفيدرالية الجديدة سيتمكنون من التسجيل عبر الإنترنت كما هو مخطط له اعتبارًا من 1 أكتوبر، على الرغم من تأجيل شهر واحد للشركات الصغيرة. وقالت المتحدثة باسم وزارة الصحة والخدمات الإنسانية الأمريكية جوان بيترز في بيان: "سيفتتح سوق الأفراد في الوقت المحدد في 1 أكتوبر مع تسجيل كامل عبر الإنترنت". (تقرير ديفيد مورغان؛ تحرير ليزا فون آن)","تم الإبلاغ عن هذه القصة من قبل رجل","NoneSense"
"ANLI2937","كيفية العثور على وقت لتناول القهوة في الصباح<br>قم بتحضير قهوتك كل ليلة. ضع فلترًا وكمية القهوة المطحونة التي تحتاجها في ماكينة القهوة. صب كمية الماء التي ستحتاجها أيضًا.","لا ينصح الدليل الناس بتحضير القهوة في منتصف النهار.","NoneSense"
"ANLI3433","1999<br>في عام 1999، التقيت بجايسون عبر منتدى دردشة على الإنترنت. كنا نتفاهم بشكل جيد، لكنني كنت أريد فقط الهروب. عندما جاء ليأخذني، ذهبت معه دون أن أراه. انتقلت إلى أوكلاهوما معه. وانتهى بنا الأمر بالزواج دون حاجة لذلك.","لم أكن على وفاق جيد مع جيسون.","NoneSense"
"ANLI3994",""سيعتقدون أنه رائع،" قالت إيمي، وقد تأثرت كثيرًا بالملاحظة. "جربيه، عزيزتي. دعينا نسمع صوت البيانو الصغير،" قالت هانا، التي كانت دائمًا تشارك في أفراح الأسرة وأحزانها. فحاولت بيث ذلك، واعتبره الجميع البيانو الأكثر تميزًا الذي سمعوه على الإطلاق.","كانوا يشيرون إلى كمان.","NoneSense"
"ANLI4271","بخلاف المواد الجديدة التي تدخل السوق، فإن التخلص من المواد الموجودة التي تم تحديدها بشكل قاطع على أنها تضر طبقة الأوزون لا يزال بعيدًا عن الاكتمال.","بعض المواد تحتاج إلى سحبها من السوق بسبب تأثيرها على البيئة.","NoneSense"
"ANLI4670","يجب أن يصف أمر اللجنة بشأن مشروع تطوير الطاقة الكهرومائية توصيات مجلس مواقع مرافق الطاقة حول الحاجة إلى الطاقة.","تدرس اللجنة اقتراحًا بشأن طاقة الرياح.","NoneSense"
"ANLI4818","ألمانيا<br>ذهب الرجل إلى ألمانيا. لم يرغب في أن يبدو كسائح. ذهب إلى متجر للملابس التقليدية. ارتدى زيًا اشتراه. لكنه لا يزال يبدو كسائح.","الرجل يحتقر ألمانيا.","NoneSense"
"ANLI4956","كيفية تحضير التارو بكريمة جوز الهند والعسل<br>باستخدام مقشرة، قشر الغلاف الخارجي لأربعة درنات فردية من التارو. اغسل التارو لإزالة جميع آثار الأوساخ. قطع التارو المقشر والمغسول إلى نصفين.","ستكون المياه مطلوبة","NoneSense"
"ANLI4958","حقوق الصورة رويترز انسحب مارك كافنديش من سباق Tour de France بعد كسر في كتفه الأيمن نتيجة حادث. اللاعب البالغ من العمر 32 عامًا من جزيرة مان اصطدم بالبطل العالمي بيتر ساجان قبل أن يصطدم بالحواجز في نهاية سباق سريع. قال كافنديش، الذي يبعد خمس انتصارات فقط عن رقم قياسي في السباق لأكثر عدد من الانتصارات، إنه "محبط للغاية". يقول طبيب السباق إن مارك، الذي فاز بميدالية فضية في دورة الألعاب الأولمبية ريو 2016، يحتاج إلى الراحة لكنه لن يحتاج إلى عملية جراحية. تم استبعاد بيتر ساجان من السباق بسبب القيادة الخطرة.","مارك كافنديش انسحب من سباق Tour de France.","NoneSense"
"ANLI5001","كيفية إجراء مقابلة عبر البريد الإلكتروني<br>احصل على موافقة الشخص المعني قبل صياغة الأسئلة وإرسال بريد المقابلة. اتصل بها أو أرسل بريدًا إلكترونيًا تشرح فيه من أنت، وما هي القصة التي تكتبها، وأنواع المعلومات التي تأمل في الحصول عليها من الردود. أشر إلى سبب اعتقادك بأنها مصدر جيد لقصتك.","بعد أن توضح لماذا تعتقد أنها مصدر جيد لقصتك، انتظر حتى بعد المقابلة لتهددهم.","NoneSense"
"ANLI5283","الأحمر مقابل الأصفر بشكل عام، تعتبر أزمة تايلاند صراعًا بين "القمصان الصفراء" - المؤيدين للملكية، والجيش، والتايلانديين الحضريين، الذين يدعمون رئيس الوزراء أبيشيت فيجاجيفا - و"القمصان الحمراء" - مؤيدي رئيس الوزراء السابق تاكسين شيناواترا، الذي كانت قاعدته الشعبية مستمدة بشكل رئيسي من ملايين الفقراء الريفيين في البلاد. لقد حكمت النخبة البيروقراطية والعسكرية تايلاند لعقود، مع استبعاد الفقراء إلا خلال الانتخابات عندما كانت الأحزاب المتنافسة تحاول شراء أصواتهم. عندما وصل تاكسين إلى السلطة في عام 2000، واعدًا بمجموعة من السياسات التي تستهدف الفقراء، تغيرت الأمور.","الملكيون يرتدون الأصفر فقط","NoneSense"
"ANLI5966","كيفية كتابة رسالة إلى أفضل صديق<br>خذ ملاحظات. قد يكون من المخيف الجلوس أمام صفحة فارغة ومحاولة كتابة رسالة طويلة وذات مغزى. على الرغم من أنك تعرف أفضل صديق لك جيدًا، إلا أنه قد يكون من الصعب التفكير في ما يجب كتابته.","فكر في ذكرى جميلة يمكن أن تكون مفيدة لكتابة رسالة.","NoneSense"
"ANLI6959","سهم<br>لم يكن إيثان يعرف أي علامة يتبع. كانت هناك علامة بها سهم إلى اليسار. وكانت علامة أخرى بها السهم إلى اليمين. قرر أن يذهب إلى اليمين. وقد قادته إلى حيث أراد الذهاب.","أظهر السهم الأيمن الطريق الصحيح","NoneSense"
"ANLI8003","كيفية فقدان الوزن بعد الأربعين<br>استمتع بتنوع ملون من الفواكه والخضروات. يحتاج كل شخص إلى ما لا يقل عن 1-1.5 كوب (240-260 مل) من الفواكه و2.5-3 أكواب (605-680 مل) من الخضروات يوميًا. يمكن أن يساعد تناول الفواكه والخضروات الكاملة بما في ذلك التوت، والكرنب، والقرع، والتوت الأزرق، والأناناس أو الفلفل في الحصول على الكميات اليومية المطلوبة.","بعض الفواكه من الأفضل تجنبها","NoneSense"
"ANLI8160","تي داي<br>اسمه تايلر لكنه يفضل أن يُدعى بلقب "تي داي". إنه فتى في السادسة عشرة من عمره وهو جزء من مجموعة الشباب التي أقودها. مثل معظم المراهقين، يُعتبر تي داي تحديًا كبيرًا في القيادة. حياته المنزلية غير مستقرة وطباعه تعكس ذلك دائمًا. إنه شخص رائع لكنه يحتاج إلى النضوج بسرعة.","تاي داي سيكون في الثامنة عشرة من عمره في عيد ميلاده القادم.","NoneSense"
"ANLI9718","فتاة اسمها ريجان<br>طُلب من تيم أن يُظهر للطالب الجديد حول المدرسة. كان عليه الانتظار في مكتب المدرسة لطالب يُدعى ريجان. أثناء انتظاره لوصول الطالب، تساءل كيف سيكون شكلهم. افترض تيم أن الشخص سيكون طويلاً مثله وولداً. عندما وصل الشخص أخيرًا، كانت فتاة قصيرة ترتدي ملابس زرقاء بالكامل.","كان من الضروري إرشاد الطالب الجديد في المكان.","NoneSense"
"ANLI9871","الآن، هناك المزيد من العمل الذي يتعين القيام به. يبقى أن نرى، مع ذلك، ما إذا كان سيكون هناك تسوية سياسية في كوسوفو، وآمل بالتأكيد أن يكون هناك واحدة. كما قلت في وقت ما، آمل أن يصبح أصدقاؤنا الأوروبيون قوات حفظ السلام في البوسنة وفي البلقان.","الأوروبيون هم حماة السلام في البوسنة","NoneSense"
"ANLI9992","كيفية الحفاظ على توازنك على حصان يركض بسرعة<br>قم بركوب الحصان في مشية أو هرولة لمدة عشر دقائق على الأقل. قبل أن تسمح للحصان بالبدء في الركض، تحتاج إلى تسخينه. سيمكن ذلك الحصان من تمديد جسده استعدادًا للحركة السريعة.","يجب أن يكون الحصان حصانًا مروضًا.","NoneSense"
"ANLI10231","كيفية نسخ الأقراص المضغوطة المحمية بالمحتوى دون استخدام البرنامج المرفق<br>تحتاج إلى تعطيل التشغيل التلقائي. قم بذلك عن طريق تشغيل regedit.exe (اضغط على ابدأ، ثم تشغيل، اكتب regedit، واضغط على إدخال). في محرر السجل، انتقل إلى hkey_local_machine\system\currentcontrolset\services\cdrom.","يمكن استخدام هذه العملية لنسخ أقراص DVD.","NoneSense"
"ANLI10234","وفقًا للقائد، تم فحص العبارة التي تعود لعام 1999 من قبل وزارة النقل في 9 ديسمبر وتم التصديق على أنها في حالة جيدة. "يبدو أنه بسبب الظروف الجوية الفرصة ضئيلة، لكننا لا زلنا نأمل"، صرح جمال. مع 17 عضوًا من الطاقم، وحاملة 200 طن من البضائع، غرقت العبارة المنكوبة PT Nur Budi التي تملكها وتشغلها بسرعة كبيرة لدرجة أن الطاقم "لم يكن لديهم فرصة لطلب من الركاب ارتداء سترات النجاة."","المفتش صدق على ذلك لكنه كان على علم بالمشكلات.","NoneSense"
"ANLI10962","موعد مفقود<br>سوزي حجزت موعدًا لتصفيف شعرها. وعدت بأنها ستكون هناك. ولكن في اليوم التالي استيقظت متأخرة. لذلك لم تتمكن من الذهاب. فاتتها الموعد لكنهم ما زالوا قاموا بخصم الرسوم منها.","كانت سوزي بحاجة إلى قص شعر.","NoneSense"
"ANLI11158","بيت باربي لميريديث<br>كانت ميريديث تريد بيت دمى باربي لعيد الميلاد. أخبرها والداها ألا تتوقع واحدًا. لكنها كانت تأمل أن يجلب لها سانتا واحدًا على أي حال. في صباح عيد الميلاد، rushed rushed downstairs. كان بيت باربي الخاص بها تحت الشجرة!","كانت لعبة مستعملة","NoneSense"
"ANLI11445","يطلب هؤلاء الـ 109 مقدمي العرائض من دائرتي ومن خارج دائرتي أن يتم إعادة توجيه الأموال المخصصة حاليًا لإنشاء وتنفيذ نظام تسجيل الأسلحة نحو طرق أكثر فعالية من حيث التكلفة لمكافحة الجريمة في هذا البلد، بما في ذلك زيادة عدد الشرطة في الشوارع، وبرامج الوقاية من الجريمة، وبرامج الوقاية من الانتحار، ومراكز الأزمات للنساء، وحملات مكافحة التهريب، والمزيد من الموارد لمكافحة الجريمة المنظمة وعصابات الشوارع.","الأسلحة مكلفة وتحتاج الشرطة إلى تحويل الأموال إليهم.","NoneSense"
"ANLI11589","المراسلة<br>كانت مايا تحب الكتابة لجريدة المدرسة. كانت تستمتع بتغطية الأنشطة اليومية في المدرسة. كانت مايا ترغب في أن تصبح مراسلة يومًا ما. تم دعوتها للتدريب في محطة أخبار محلية. أصبحت مايا مراسلة أخبار معروفة.","مايا كانت تكره مدرستها.","NoneSense"
"ANLI11962","قسم الفول السوداني<br>انتهت صلاحية رخصتي قبل بضعة أيام، لذا كان علي الذهاب إلى إدارة المركبات. انتظرت في الطابور لما بدا وكأنه أبدية. عندما أخبرت المرأة أنني بحاجة إلى تجديد الرخصة، أعطتني نظرة. ثم نقرت بلسانها وقالت إن الوزن بحاجة إلى تحديث. شكرًا على تعزيز الثقة بالنفس، سيدتي من إدارة المركبات.","العبارة الأخيرة في هذا السياق هي تعليق ساخر.","NoneSense"
"ANLI12124","راندي يسكر<br>راندي يريد أن يستمتع. يشتري بعض البيرة. يشربها جميعًا. يصبح سكرانًا. راندي يفقد الوعي من كثرة الشرب.","راندي يشرب فقط 11% من المشروبات التي يشتريها.","NoneSense"
"ANLI12225","كيفية تنظيف البطاطس<br>ابدأ بأيدٍ نظيفة. تأكد من غسل يديك أولاً باستخدام صابون مضاد للبكتيريا، واشطفهما جيدًا. لا تريد نقل أي بكتيريا إلى بطاطسك النظيفة.","تأكد من غسل يديك أولاً باستخدام صابون مضاد للبكتيريا، واشطفهما جيدًا بالكثير من الماء.","NoneSense"
